id,quanhuyen,tinhtp,toado,chieudongmt,vitri,duongtruocnha,huongnha,hinhdang,mongnha,congnha,tuongnha,trannha,sannha,cuachinh,cuaphong,cuaso,dt_dato,dt_datkhac,dt_xaydung,ngaylap,giatri
11351,Huyện Nhà Bè,Hồ Chí Minh,,"4,02m",NULL,"20m mt Huỳnh tấn phát, hẻm hông 2m",Hướng Tây Nam,"[Không vuông vức, ]","[Móng BTCT, ]",Không,"Tường xây gạch 110 bổ trụ BTCT, sơn nước",[lau phông],không chừa sân,"[Cửa sắt, Khác]","[Cửa nhôm kính, Khác]",[Khác],52.10,10.10,52.10,2021-07-06 23:49:21.937,3492995481.00
11356,Quận Thủ Đức,Hồ Chí Minh,,6,NULL,6m (lòng đường),Hướng Tây Bắc,"[Vuông vức, ]",[],,,[],không chừa sân,[Khác],[Khác],[Khác],114.00,0.00,0.00,2021-07-09 11:01:09.020,10013440344.00
11365,Huyện Bình Chánh,Hồ Chí Minh,,5,NULL,1m,Hướng Đông,"[Vuông vức, ]","[Móng BTCT, ]","Cổng sắt hoa 2 cánh , bổ trụ","Tường xây gạch 110 bổ trụ BTCT, sơn nước","[Trần thạch cao, đèn âm trần, ]",có chừa sân,"[Cửa nhựa lõi thép, Khác]","[Cửa gỗ, Khác]",[Khác],100.00,0.00,342.40,2021-08-13 17:00:18.217,14379985906.00
11370,Quận 1,Hồ Chí Minh,"10.768799072117298, 106.69835263307345",<4m (đang xin sổ rõ hơn),NULL,16m,Hướng Đông Bắc,"[Vuông vức, ]","[Móng BTCT, ]",Không,"Tường xây gạch 110 bổ trụ BTCT, sơn nước","[Trần thạch cao, đèn âm trần, ]",không chừa sân,"[Cửa sắt cuốn tự động, Khác]","[Cửa gỗ, Khác]",[Khác],68.14,0.00,256.60,2021-12-23 12:28:28.807,37906541262.00
11371,Quận Thủ Đức,Hồ Chí Minh,,~32m,NULL,khoảng 6m (lề ~2m/bên),Hướng Tây Nam,"[Vuông vức, ]",[],,,[],không chừa sân,[Khác],[Khác],[Khác],1982.85,12.25,0.00,2021-07-22 11:03:28.243,108731373264.00
11372,Quận 3,Hồ Chí Minh,,"7,3m",NULL,20m,Hướng Tây Nam,"[Không vuông vức, ]","[Móng đơn, ]",,"Tường xây gạch 110 bổ trụ BTCT, sơn nước","[Trần nhựa PVC, ]",không chừa sân,"[Cửa nhôm kính, Khác]","[Cửa gỗ, Khác]","[Cửa nhôm kính, Khác]",35.50,0.00,255.80,2021-07-15 12:37:40.613,13830436497.00
11373,Huyện Bình Chánh,Hồ Chí Minh,,5,NULL,10m,Hướng Nam,"[Vuông vức, ]","[Móng BTCT, ]",Cổng sắt kéo,"Tường xây gạch 110 bổ trụ BTCT, sơn nước","[Trần thạch cao, đèn âm trần, ]",không chừa sân,"[Cửa gỗ, Khác]","[Cửa gỗ, Khác]",[Khác],100.00,0.00,292.00,2021-07-12 16:04:43.557,11823825574.00
11388,Quận Bình Thạnh,Hồ Chí Minh,,5m,NULL,20m,Hướng Tây Nam,"[Vuông vức, ]","[Móng BTCT, ]","Cổng sắt hoa 2 cánh , bổ trụ","Tường xây gạch 110 bổ trụ BTCT, sơn nước",[],không chừa sân,"[Cửa nhựa lõi thép, Khác]","[Cửa nhựa lõi thép, Khác]","[Cửa nhựa lõi thép, Khác]",101.30,0.00,169.00,2021-10-19 15:42:48.497,13278296647.00
11391,Huyện Bình Chánh,Hồ Chí Minh,,"6,87",NULL,12m,Hướng Đông Bắc,"[Vuông vức, ]","[Móng BTCT, ]","Cổng sắt hoa 2 cánh , bổ trụ","Tường xây gạch 220 bổ trụ BTCT, sơn nước",[],không chừa sân,"[Cửa nhôm kính, Khác]","[Cửa nhôm kính, Khác]","[Cửa nhôm kính, Khác]",196.00,0.00,275.20,2021-09-22 14:48:53.640,13307899631.00
11400,Quận 7,Hồ Chí Minh,,15M,NULL,4m,Hướng Đông,"[Tương đối vuông vức, ]",[],,,[],không chừa sân,[Khác],[Khác],[Khác],299.77,182.45,0.00,2021-07-08 17:43:06.343,25040281724.00
11402,Quận 2,Hồ Chí Minh,,"4,5m",NULL,khoảng 8m (lòng đường),Hướng Tây Nam,"[Vuông vức, ]","[Móng BTCT, ]",Cổng sắt kéo,"Tường xây gạch 110 bổ trụ BTCT, sơn nước","[Trần thạch cao, đèn âm trần, ]",không chừa sân,[Khác],[Khác],"[Cửa sắt, Khác]",90.00,0.00,0.00,2021-07-22 23:32:27.563,16267985640.00
11403,Quận 9,Hồ Chí Minh,,5m,NULL,khoảng 6m (lề khoảng 2m),Hướng Tây Nam,"[Vuông vức, ]","[Móng BTCT, ]",Cổng sắt kéo,"Tường xây gạch 110 bổ trụ BTCT, sơn nước","[Trần thạch cao, đèn âm trần, ]",không chừa sân,[sắt kính],"[Cửa gỗ, Khác]",[sắt kính],111.00,0.00,255.00,2021-07-22 17:13:21.217,9654220679.00
